state,record_date,total_confirmed,cured,deaths,confirmed
Kerala,2020-01-30,1,0,0,1
Kerala,2020-01-31,1,0,0,1
Kerala,2020-02-01,2,0,0,2
Kerala,2020-02-02,3,0,0,3
Kerala,2020-02-03,3,0,0,3
Kerala,2020-02-04,3,0,0,3
Kerala,2020-02-05,3,0,0,3
Kerala,2020-02-06,3,0,0,3
Kerala,2020-02-07,3,0,0,3
Kerala,2020-02-08,3,0,0,3
Kerala,2020-02-09,3,0,0,3
Kerala,2020-02-10,3,0,0,3
Kerala,2020-02-11,3,0,0,3
Kerala,2020-02-12,3,0,0,3
Kerala,2020-02-13,3,0,0,3
Kerala,2020-02-14,3,0,0,3
Kerala,2020-02-15,3,0,0,3
Kerala,2020-02-16,3,0,0,3
Kerala,2020-02-17,3,0,0,3
Kerala,2020-02-18,3,0,0,3
Kerala,2020-02-19,3,0,0,3
Kerala,2020-02-20,3,0,0,3
Kerala,2020-02-21,3,0,0,3
Kerala,2020-02-22,3,0,0,3
Kerala,2020-02-23,3,0,0,3
Kerala,2020-02-24,3,0,0,3
Kerala,2020-02-25,3,0,0,3
Kerala,2020-02-26,3,0,0,3
Kerala,2020-02-27,3,0,0,3
Kerala,2020-02-28,3,0,0,3
Kerala,2020-02-29,3,0,0,3
Kerala,2020-03-01,3,0,0,3
Telangana,2020-03-02,1,0,0,1
Kerala,2020-03-02,3,0,0,3
Delhi,2020-03-02,1,0,0,1
Telangana,2020-03-03,1,0,0,1
Rajasthan,2020-03-03,1,0,0,1
Kerala,2020-03-03,3,3,0,3
Delhi,2020-03-03,1,0,0,1
Uttar Pradesh,2020-03-04,6,0,0,6
Kerala,2020-03-04,3,3,0,3
Haryana,2020-03-04,2,0,0,2
Delhi,2020-03-04,1,0,0,1
Telangana,2020-03-04,1,0,0,1
Rajasthan,2020-03-04,15,0,0,15
Delhi,2020-03-05,2,0,0,2
Haryana,2020-03-05,2,0,0,2
Kerala,2020-03-05,3,3,0,3
Rajasthan,2020-03-05,15,0,0,15
Telangana,2020-03-05,1,0,0,1
Uttar Pradesh,2020-03-05,7,0,0,7
Delhi,2020-03-06,3,0,0,3
Haryana,2020-03-06,2,0,0,2
Kerala,2020-03-06,3,3,0,3
Rajasthan,2020-03-06,15,0,0,15
Uttar Pradesh,2020-03-06,7,0,0,7
Telangana,2020-03-06,1,0,0,1
Kerala,2020-03-07,3,3,0,3
Uttar Pradesh,2020-03-07,7,0,0,7
Ladakh,2020-03-07,2,0,0,2
Telangana,2020-03-07,1,0,0,1
Tamil Nadu,2020-03-07,1,0,0,1
Delhi,2020-03-07,3,0,0,3
Haryana,2020-03-07,2,0,0,2
Rajasthan,2020-03-07,15,0,0,15
Ladakh,2020-03-08,2,0,0,2
Telangana,2020-03-08,1,0,0,1
Tamil Nadu,2020-03-08,1,0,0,1
Rajasthan,2020-03-08,15,0,0,15
Kerala,2020-03-08,8,3,0,8
Haryana,2020-03-08,2,0,0,2
Delhi,2020-03-08,3,0,0,3
Uttar Pradesh,2020-03-08,7,0,0,7
Ladakh,2020-03-09,2,0,0,2
Karnataka,2020-03-09,1,0,0,1
Kerala,2020-03-09,9,3,0,9
Maharashtra,2020-03-09,2,0,0,2
Punjab,2020-03-09,1,0,0,1
Rajasthan,2020-03-09,15,0,0,15
Tamil Nadu,2020-03-09,1,0,0,1
Telangana,2020-03-09,1,0,0,1
Jammu and Kashmir,2020-03-09,1,0,0,1
Uttar Pradesh,2020-03-09,7,0,0,7
Haryana,2020-03-09,2,0,0,2
Delhi,2020-03-09,4,0,0,4
Uttar Pradesh,2020-03-10,7,0,0,7
Ladakh,2020-03-10,2,0,0,2
Delhi,2020-03-10,4,0,0,4
Haryana,2020-03-10,2,0,0,2
Karnataka,2020-03-10,4,0,0,4
Kerala,2020-03-10,15,3,0,15
Maharashtra,2020-03-10,5,0,0,5
Punjab,2020-03-10,1,0,0,1
Rajasthan,2020-03-10,15,0,0,15
Tamil Nadu,2020-03-10,1,0,0,1
Telangana,2020-03-10,1,0,0,1
Jammu and Kashmir,2020-03-10,1,0,0,1
Maharashtra,2020-03-11,2,0,0,2
Delhi,2020-03-11,5,0,0,5
Haryana,2020-03-11,14,0,0,14
Kerala,2020-03-11,17,3,0,17
Rajasthan,2020-03-11,3,0,0,3
Telangana,2020-03-11,1,0,0,1
Uttar Pradesh,2020-03-11,9,0,0,9
Ladakh,2020-03-11,2,0,0,2
Tamil Nadu,2020-03-11,1,0,0,1
Jammu and Kashmir,2020-03-11,1,0,0,1
Punjab,2020-03-11,1,0,0,1
Karnataka,2020-03-11,4,0,0,4
Delhi,2020-03-12,6,0,0,6
Haryana,2020-03-12,14,0,0,14
Kerala,2020-03-12,17,3,0,17
Rajasthan,2020-03-12,3,0,0,3
Telangana,2020-03-12,1,0,0,1
Uttar Pradesh,2020-03-12,11,0,0,11
Ladakh,2020-03-12,3,0,0,3
Tamil Nadu,2020-03-12,1,0,0,1
Jammu and Kashmir,2020-03-12,1,0,0,1
Punjab,2020-03-12,1,0,0,1
Karnataka,2020-03-12,4,0,0,4
Maharashtra,2020-03-12,11,0,0,11
Andhra Pradesh,2020-03-12,1,0,0,1
Delhi,2020-03-13,6,0,0,6
Haryana,2020-03-13,14,0,0,14
Kerala,2020-03-13,19,3,0,19
Rajasthan,2020-03-13,3,0,0,3
Telangana,2020-03-13,1,0,0,1
Uttar Pradesh,2020-03-13,11,0,0,11
Ladakh,2020-03-13,3,0,0,3
Tamil Nadu,2020-03-13,1,0,0,1
Jammu and Kashmir,2020-03-13,1,0,0,1
Punjab,2020-03-13,1,0,0,1
Karnataka,2020-03-13,6,0,1,6
Maharashtra,2020-03-13,14,0,0,14
Andhra Pradesh,2020-03-13,1,0,0,1
Delhi,2020-03-14,7,1,1,7
Haryana,2020-03-14,14,0,0,14
Kerala,2020-03-14,19,3,0,19
Rajasthan,2020-03-14,3,1,0,3
Telangana,2020-03-14,1,0,0,1
Uttar Pradesh,2020-03-14,12,5,0,12
Ladakh,2020-03-14,3,0,0,3
Tamil Nadu,2020-03-14,1,0,0,1
Jammu and Kashmir,2020-03-14,2,0,0,2
Punjab,2020-03-14,1,0,0,1
Karnataka,2020-03-14,6,0,1,6
Maharashtra,2020-03-14,14,0,0,14
Andhra Pradesh,2020-03-14,1,0,0,1
Andhra Pradesh,2020-03-15,1,0,0,1
Delhi,2020-03-15,7,2,1,7
Haryana,2020-03-15,14,0,0,14
Karnataka,2020-03-15,6,0,1,6
Kerala,2020-03-15,22,3,0,22
Maharashtra,2020-03-15,32,0,0,32
Punjab,2020-03-15,1,0,0,1
Rajasthan,2020-03-15,4,3,0,4
Tamil Nadu,2020-03-15,1,0,0,1
Telangana,2020-03-15,3,1,0,3
Jammu and Kashmir,2020-03-15,2,0,0,2
Ladakh,2020-03-15,3,0,0,3
Uttar Pradesh,2020-03-15,13,4,0,13
Uttarakhand,2020-03-15,1,0,0,1
Andhra Pradesh,2020-03-16,1,0,0,1
Delhi,2020-03-16,7,2,1,7
Haryana,2020-03-16,14,0,0,14
Karnataka,2020-03-16,6,0,1,6
Kerala,2020-03-16,23,3,0,23
Maharashtra,2020-03-16,32,0,0,32
Odisha,2020-03-16,1,0,0,1
Punjab,2020-03-16,1,0,0,1
Rajasthan,2020-03-16,4,3,0,4
Tamil Nadu,2020-03-16,1,0,0,1
Telangana,2020-03-16,3,1,0,3
Jammu and Kashmir,2020-03-16,3,0,0,3
Ladakh,2020-03-16,4,0,0,4
Uttar Pradesh,2020-03-16,13,4,0,13
Uttarakhand,2020-03-16,1,0,0,1
Andhra Pradesh,2020-03-17,1,0,0,1
Delhi,2020-03-17,8,2,1,8
Haryana,2020-03-17,15,0,0,15
Karnataka,2020-03-17,11,0,1,11
Kerala,2020-03-17,26,3,0,26
Maharashtra,2020-03-17,39,0,1,39
Odisha,2020-03-17,1,0,0,1
Punjab,2020-03-17,1,0,0,1
Rajasthan,2020-03-17,4,3,0,4
Tamil Nadu,2020-03-17,1,0,0,1
Telangana,2020-03-17,5,1,0,5
Jammu and Kashmir,2020-03-17,3,0,0,3
Ladakh,2020-03-17,6,0,0,6
Uttar Pradesh,2020-03-17,15,5,0,15
Uttarakhand,2020-03-17,1,0,0,1
Andhra Pradesh,2020-03-18,1,0,0,1
Delhi,2020-03-18,10,2,1,10
Haryana,2020-03-18,17,0,0,17
Karnataka,2020-03-18,11,0,1,11
Kerala,2020-03-18,27,3,0,27
Maharashtra,2020-03-18,42,0,1,42
Odisha,2020-03-18,1,0,0,1
Puducherry,2020-03-18,1,0,0,1
Punjab,2020-03-18,1,0,0,1
Rajasthan,2020-03-18,4,3,0,4
Tamil Nadu,2020-03-18,1,0,0,1
Telangana,2020-03-18,6,1,0,6
Jammu and Kashmir,2020-03-18,3,0,0,3
Ladakh,2020-03-18,8,0,0,8
Uttar Pradesh,2020-03-18,16,5,0,16
Uttarakhand,2020-03-18,1,0,0,1
West Bengal,2020-03-18,1,0,0,1
Andhra Pradesh,2020-03-19,2,0,0,2
Chhattisgarh,2020-03-19,1,0,0,1
Delhi,2020-03-19,12,3,1,12
Haryana,2020-03-19,17,0,0,17
Karnataka,2020-03-19,14,0,1,14
Kerala,2020-03-19,27,3,0,27
Maharashtra,2020-03-19,47,0,1,47
Odisha,2020-03-19,1,0,0,1
Puducherry,2020-03-19,1,0,0,1
Punjab,2020-03-19,2,0,1,2
Rajasthan,2020-03-19,7,3,0,7
Tamil Nadu,2020-03-19,2,1,0,2
Telangana,2020-03-19,6,1,0,6
Chandigarh,2020-03-19,1,0,0,1
Jammu and Kashmir,2020-03-19,4,0,0,4
Ladakh,2020-03-19,8,0,0,8
Uttar Pradesh,2020-03-19,19,9,0,19
Uttarakhand,2020-03-19,1,0,0,1
West Bengal,2020-03-19,1,0,0,1
Andhra Pradesh,2020-03-20,3,0,0,3
Chhattisgarh,2020-03-20,1,0,0,1
Delhi,2020-03-20,17,5,1,17
Gujarat,2020-03-20,5,0,0,5
Haryana,2020-03-20,17,0,0,17
Karnataka,2020-03-20,15,1,1,15
Kerala,2020-03-20,28,3,0,28
Maharashtra,2020-03-20,52,0,1,52
Odisha,2020-03-20,2,0,0,2
Puducherry,2020-03-20,1,0,0,1
Punjab,2020-03-20,2,0,1,2
Rajasthan,2020-03-20,17,3,0,17
Tamil Nadu,2020-03-20,3,1,0,3
Telangana,2020-03-20,17,1,0,17
Chandigarh,2020-03-20,1,0,0,1
Jammu and Kashmir,2020-03-20,4,0,0,4
Ladakh,2020-03-20,10,0,0,10
Uttar Pradesh,2020-03-20,23,9,0,23
Uttarakhand,2020-03-20,3,0,0,3
West Bengal,2020-03-20,2,0,0,2
Andhra Pradesh,2020-03-21,3,0,0,3
Chhattisgarh,2020-03-21,1,0,0,1
Delhi,2020-03-21,26,5,1,26
Gujarat,2020-03-21,7,0,0,7
Haryana,2020-03-21,17,0,0,17
Himachal Pradesh,2020-03-21,2,0,0,2
Karnataka,2020-03-21,15,1,1,15
Kerala,2020-03-21,40,3,0,40
Madhya Pradesh,2020-03-21,4,0,0,4
Maharashtra,2020-03-21,63,0,1,63
Odisha,2020-03-21,2,0,0,2
Puducherry,2020-03-21,1,0,0,1
Punjab,2020-03-21,13,0,1,13
Rajasthan,2020-03-21,17,3,0,17
Tamil Nadu,2020-03-21,3,1,0,3
Telangana,2020-03-21,21,1,0,21
Chandigarh,2020-03-21,1,0,0,1
Jammu and Kashmir,2020-03-21,4,0,0,4
Ladakh,2020-03-21,13,0,0,13
Uttar Pradesh,2020-03-21,24,9,0,24
Uttarakhand,2020-03-21,3,0,0,3
West Bengal,2020-03-21,3,0,0,3
Andhra Pradesh,2020-03-22,5,0,0,5
