state,population
Andaman and Nicobar Islands,380581
Andhra Pradesh,49577103
Arunachal Pradesh,1504000
Assam,35607039
Bihar,124799926
Chandigarh,1158473
Chhattisgarh,29436231
Dadra and Nagar Haveli and Daman and Diu,586956
Delhi,19814000
Goa,1586250
Gujarat,67936000
Haryana,29260000
Himachal Pradesh,7400000
Jammu and Kashmir,13800000
Jharkhand,38593948
Karnataka,69144000
Kerala,35699443
Ladakh,293000
Lakshadweep,64473
Madhya Pradesh,85358965
Maharashtra,123144223
Manipur,3070000
Meghalaya,3366710
Mizoram,1239244
Nagaland,2249695
Odisha,46356334
Punjab,30141373
Rajasthan,81032689
Sikkim,690251
Tamil Nadu,77841267
Telangana,35003674
Tripura,4169794
Uttar Pradesh,241066874
Uttarakhand,11840895
West Bengal,99609303
Puducherry,1549000
