state,record_date,sessions,sites,total_doses,first_dose,second_dose,male_doses,female_doses,transgender_doses,covaxin_doses,covishield_doses,sputnik_v_doses,aefi,doses_18_44,doses_45_60,doses_60_plus,ind_vax_18_44,ind_vax_45_60,ind_vax_60_plus,male_ind_vax,female_ind_vax,transgender_ind_vax,total_ind_vax
Assam,2021-02-04,1955,656,52645,52645,0,15836,36782,27,4420,48225,0,0,0,0,0,0,0,0,0,0,0,52645
Andaman and Nicobar Islands,2021-03-07,227,16,11101,8848,2253,5251,3597,0,0,8848,0,0,0,0,0,0,0,0,0,0,0,8848
Andaman and Nicobar Islands,2021-01-16,2,2,23,23,0,12,11,0,0,23,0,0,0,0,0,0,0,0,0,0,0,23
Andaman and Nicobar Islands,2021-01-17,2,2,23,23,0,12,11,0,0,23,0,0,0,0,0,0,0,0,0,0,0,23
Andaman and Nicobar Islands,2021-01-18,9,2,42,42,0,29,13,0,0,42,0,0,0,0,0,0,0,0,0,0,0,42
Andaman and Nicobar Islands,2021-01-19,12,2,89,89,0,53,36,0,0,89,0,0,0,0,0,0,0,0,0,0,0,89
Andaman and Nicobar Islands,2021-01-20,16,3,124,124,0,67,57,0,0,124,0,0,0,0,0,0,0,0,0,0,0,124
Andaman and Nicobar Islands,2021-01-21,22,6,239,239,0,110,129,0,0,239,0,0,0,0,0,0,0,0,0,0,0,239
Andaman and Nicobar Islands,2021-01-22,29,6,552,552,0,231,321,0,0,552,0,0,0,0,0,0,0,0,0,0,0,552
Andaman and Nicobar Islands,2021-01-23,32,9,920,920,0,342,578,0,0,920,0,0,0,0,0,0,0,0,0,0,0,920
Andaman and Nicobar Islands,2021-01-24,38,9,966,966,0,357,609,0,0,966,0,0,0,0,0,0,0,0,0,0,0,966
Andaman and Nicobar Islands,2021-01-25,43,10,1519,1519,0,447,1072,0,0,1519,0,0,0,0,0,0,0,0,0,0,0,1519
Andaman and Nicobar Islands,2021-01-26,43,10,1519,1519,0,447,1072,0,0,1519,0,0,0,0,0,0,0,0,0,0,0,1519
Andaman and Nicobar Islands,2021-01-27,43,10,1519,1519,0,447,1072,0,0,1519,0,0,0,0,0,0,0,0,0,0,0,1519
Andaman and Nicobar Islands,2021-01-28,48,10,1956,1956,0,563,1393,0,0,1956,0,0,0,0,0,0,0,0,0,0,0,1956
Andaman and Nicobar Islands,2021-01-29,50,10,2024,2024,0,588,1436,0,0,2024,0,0,0,0,0,0,0,0,0,0,0,2024
Andaman and Nicobar Islands,2021-01-30,51,10,2060,2060,0,591,1469,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,2060
Andaman and Nicobar Islands,2021-01-31,51,10,2060,2060,0,591,1469,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,2060
Andaman and Nicobar Islands,2021-02-01,51,10,2060,2060,0,591,1469,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,2060
Andaman and Nicobar Islands,2021-02-02,51,10,2060,2060,0,591,1469,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,2060
Andaman and Nicobar Islands,2021-02-03,56,12,2107,2107,0,601,1506,0,0,2107,0,0,0,0,0,0,0,0,0,0,0,2107
Andaman and Nicobar Islands,2021-02-04,57,13,2290,2290,0,659,1631,0,0,2290,0,0,0,0,0,0,0,0,0,0,0,2290
Andaman and Nicobar Islands,2021-02-05,63,13,2514,2514,0,705,1809,0,0,2514,0,0,0,0,0,0,0,0,0,0,0,2514
Andaman and Nicobar Islands,2021-02-06,65,13,2780,2780,0,745,2035,0,0,2780,0,0,0,0,0,0,0,0,0,0,0,2780
Andaman and Nicobar Islands,2021-02-07,65,13,2780,2780,0,745,2035,0,0,2780,0,0,0,0,0,0,0,0,0,0,0,2780
Andaman and Nicobar Islands,2021-02-08,65,13,2780,2780,0,745,2035,0,0,2780,0,0,0,0,0,0,0,0,0,0,0,2780
Andaman and Nicobar Islands,2021-02-09,65,13,2780,2780,0,745,2035,0,0,2780,0,0,0,0,0,0,0,0,0,0,0,2780
Andaman and Nicobar Islands,2021-02-10,65,13,2780,2780,0,745,2035,0,0,2780,0,0,0,0,0,0,0,0,0,0,0,2780
Andaman and Nicobar Islands,2021-02-11,65,13,2780,2780,0,745,2035,0,0,2780,0,0,0,0,0,0,0,0,0,0,0,2780
Andaman and Nicobar Islands,2021-02-12,74,14,2852,2852,0,773,2079,0,0,2852,0,0,0,0,0,0,0,0,0,0,0,2852
Andaman and Nicobar Islands,2021-02-13,74,14,3040,3040,0,938,2102,0,0,3040,0,0,0,0,0,0,0,0,0,0,0,3040
Andaman and Nicobar Islands,2021-02-14,78,14,3040,3040,0,938,2102,0,0,3040,0,0,0,0,0,0,0,0,0,0,0,3040
Andaman and Nicobar Islands,2021-02-15,78,14,3467,3363,104,1176,2187,0,0,3363,0,0,0,0,0,0,0,0,0,0,0,3363
Andaman and Nicobar Islands,2021-02-16,81,14,3467,3363,104,1176,2187,0,0,3363,0,0,0,0,0,0,0,0,0,0,0,3363
Andaman and Nicobar Islands,2021-02-17,86,14,3664,3560,104,1343,2217,0,0,3560,0,0,0,0,0,0,0,0,0,0,0,3560
Andaman and Nicobar Islands,2021-02-18,95,14,3846,3505,341,1455,2050,0,0,3505,0,0,0,0,0,0,0,0,0,0,0,3505
Andaman and Nicobar Islands,2021-02-19,101,14,4898,4246,652,1805,2441,0,0,4246,0,0,0,0,0,0,0,0,0,0,0,4246
Andaman and Nicobar Islands,2021-02-20,102,14,5653,4707,946,2221,2486,0,0,4707,0,0,0,0,0,0,0,0,0,0,0,4707
Andaman and Nicobar Islands,2021-02-21,102,14,5653,4707,946,2221,2486,0,0,4707,0,0,0,0,0,0,0,0,0,0,0,4707
Andaman and Nicobar Islands,2021-02-22,118,14,6856,5358,1498,2773,2585,0,0,5358,0,0,0,0,0,0,0,0,0,0,0,5358
Andaman and Nicobar Islands,2021-02-23,122,14,7058,5436,1622,2831,2605,0,0,5436,0,0,0,0,0,0,0,0,0,0,0,5436
Andaman and Nicobar Islands,2021-02-24,128,14,7240,5518,1722,2896,2622,0,0,5518,0,0,0,0,0,0,0,0,0,0,0,5518
Andaman and Nicobar Islands,2021-02-25,134,15,7763,5867,1896,3103,2764,0,0,5867,0,0,0,0,0,0,0,0,0,0,0,5867
Andaman and Nicobar Islands,2021-02-26,135,15,7989,6029,1960,3205,2824,0,0,6029,0,0,0,0,0,0,0,0,0,0,0,6029
Andaman and Nicobar Islands,2021-02-27,135,15,7989,6029,1960,3205,2824,0,0,6029,0,0,0,0,0,0,0,0,0,0,0,6029
Andaman and Nicobar Islands,2021-02-28,135,15,7989,6029,1960,3205,2824,0,0,6029,0,0,0,0,0,0,0,0,0,0,0,6029
Andaman and Nicobar Islands,2021-03-01,149,15,7989,6029,1960,3205,2824,0,0,6029,0,0,0,0,0,0,0,0,0,0,0,6029
Andaman and Nicobar Islands,2021-03-02,161,15,8724,6638,2086,3630,3008,0,0,6638,0,0,0,0,0,0,0,0,0,0,0,6638
Andaman and Nicobar Islands,2021-03-03,172,16,8837,6749,2088,3721,3028,0,0,6749,0,0,0,0,0,0,0,0,0,0,0,6749
Andaman and Nicobar Islands,2021-03-04,182,16,9361,7266,2095,4133,3133,0,0,7266,0,0,0,0,0,0,0,0,0,0,0,7266
Andaman and Nicobar Islands,2021-03-05,198,16,9897,7799,2098,4559,3240,0,0,7799,0,0,0,0,0,0,0,0,0,0,0,7799
Andaman and Nicobar Islands,2021-03-06,224,16,10498,8288,2210,4915,3373,0,0,8288,0,0,0,0,0,0,0,0,0,0,0,8288
Andaman and Nicobar Islands,2021-03-08,261,16,12004,9629,2375,5872,3757,0,0,9629,0,0,0,0,0,0,0,0,0,0,0,9629
Andaman and Nicobar Islands,2021-03-09,500,5,9932,7542,2390,6068,3864,0,0,9932,0,0,0,0,0,0,0,0,0,0,0,9932
Andaman and Nicobar Islands,2021-03-10,300,3,10161,7735,2426,6211,3950,0,0,10161,0,0,0,0,0,0,0,0,0,0,0,10161
Andaman and Nicobar Islands,2021-03-11,700,7,10704,8218,2486,6591,4113,0,0,10704,0,0,0,0,0,0,0,0,0,0,0,10704
Andaman and Nicobar Islands,2021-03-12,700,7,11321,8735,2586,6977,4344,0,0,11321,0,0,0,0,0,0,0,0,0,0,0,11321
Andaman and Nicobar Islands,2021-03-13,200,2,11638,8899,2739,7188,4450,0,0,11638,0,0,0,0,0,0,0,0,0,0,0,11638
Andaman and Nicobar Islands,2021-03-14,100,1,11693,8926,2767,7218,4475,0,0,11693,0,0,0,0,0,0,0,0,0,0,0,11693
Andaman and Nicobar Islands,2021-03-15,500,5,12045,9202,2843,7401,4644,0,0,12045,0,0,0,0,0,0,0,0,0,0,0,12045
Andaman and Nicobar Islands,2021-03-16,700,7,14826,11950,2876,7391,4559,0,0,14826,0,1,0,0,0,4663,6173,1111,0,0,0,11950
Andaman and Nicobar Islands,2021-03-17,0,0,15489,12509,2980,7719,4790,0,0,15489,0,1,0,0,0,4682,6280,1544,0,0,0,12509
Andaman and Nicobar Islands,2021-03-18,800,8,16131,12948,3183,7962,4986,0,0,16131,0,1,0,0,0,4717,6352,1876,0,0,0,12948
Andaman and Nicobar Islands,2021-03-19,1000,10,16612,13293,3319,8148,5145,0,0,16612,0,1,0,0,0,4748,6478,2064,0,0,0,13293
Andaman and Nicobar Islands,2021-03-20,1100,11,17451,13852,3599,8440,5412,0,0,17451,0,1,0,0,0,4806,6660,2383,0,0,0,13852
Andaman and Nicobar Islands,2021-03-21,500,5,17478,13868,3610,8449,5419,0,0,17478,0,1,0,0,0,4809,6669,2387,0,0,0,13868
Andaman and Nicobar Islands,2021-03-22,2000,20,18085,14327,3758,8706,5621,0,0,18085,0,1,0,0,0,4839,6756,2729,0,0,0,14327
Andaman and Nicobar Islands,2021-03-23,2300,23,19121,15017,4104,9055,5962,0,0,19121,0,1,0,0,0,4915,7009,3090,0,0,0,15017
Andaman and Nicobar Islands,2021-03-24,1400,14,19693,15247,4446,9159,6088,0,0,19693,0,1,0,0,0,4936,7062,3246,0,0,0,15247
Andaman and Nicobar Islands,2021-03-25,2100,21,20318,15652,4666,9355,6297,0,0,20318,0,1,0,0,0,4966,7169,3515,0,0,0,15652
Andaman and Nicobar Islands,2021-03-26,1700,17,20789,15933,4856,9518,6415,0,0,20789,0,1,0,0,0,5005,7252,3674,0,0,0,15933
Andaman and Nicobar Islands,2021-03-27,1700,17,21356,16292,5064,9709,6583,0,0,21356,0,1,0,0,0,5036,7360,3894,0,0,0,16292
Andaman and Nicobar Islands,2021-03-28,1950,14,21358,16293,5065,9710,6583,0,0,21358,0,1,0,0,0,5036,7361,3894,0,0,0,16293
Andaman and Nicobar Islands,2021-03-29,1600,15,21357,16292,5065,9709,6583,0,0,21357,0,1,0,0,0,5036,7360,3894,0,0,0,16292
Andaman and Nicobar Islands,2021-03-30,1600,16,21840,16701,5139,9939,6762,0,0,21840,0,1,0,0,0,5070,7465,4164,0,0,0,16701
Andaman and Nicobar Islands,2021-03-31,1300,12,21938,16798,5140,9989,6809,0,0,21938,0,1,0,0,0,5076,7495,4225,0,0,0,16798
Andaman and Nicobar Islands,2021-04-01,1700,17,22608,17435,5173,10347,7088,0,0,22608,0,1,0,0,0,5123,7806,4504,0,0,0,17435
Andaman and Nicobar Islands,2021-04-02,1000,10,22738,17559,5179,10407,7152,0,0,22738,0,1,0,0,0,5131,7901,4525,0,0,0,17559
Andaman and Nicobar Islands,2021-04-03,1200,11,23221,17998,5223,10633,7365,0,0,23221,0,1,0,0,0,5147,8153,4696,0,0,0,17998
Andaman and Nicobar Islands,2021-04-04,1200,12,23901,18677,5224,10996,7681,0,0,23901,0,1,0,0,0,5165,8580,4930,0,0,0,18677
Andaman and Nicobar Islands,2021-04-05,1800,18,24774,19499,5275,11437,8062,0,0,24774,0,1,0,0,0,5171,9040,5286,0,0,0,19499
Andaman and Nicobar Islands,2021-04-06,2300,23,25766,20445,5321,11897,8548,0,0,25766,0,1,0,0,0,5179,9556,5708,0,0,0,20445
Andaman and Nicobar Islands,2021-04-07,2400,23,27978,22631,5347,12986,9645,0,0,27978,0,1,0,0,0,5191,10861,6577,0,0,0,22631
Andaman and Nicobar Islands,2021-04-08,2800,28,30766,25363,5403,14405,10957,1,0,30766,0,1,0,0,0,5196,12522,7643,0,0,0,25363
Andaman and Nicobar Islands,2021-04-09,2800,28,33217,27698,5519,15582,12115,1,0,33217,0,1,0,0,0,5209,13951,8536,0,0,0,27698
Andaman and Nicobar Islands,2021-04-10,3000,29,35433,29863,5570,16690,13172,1,0,35433,0,1,0,0,0,5221,15264,9376,0,0,0,29863
Andaman and Nicobar Islands,2021-04-11,2800,28,37624,32012,5612,17866,14145,1,0,37624,0,1,0,0,0,5234,16701,10075,0,0,0,32012
Andaman and Nicobar Islands,2021-04-12,3400,33,42285,36572,5713,20175,16392,5,0,42285,0,1,0,0,0,5259,19448,11863,0,0,0,36572
Andaman and Nicobar Islands,2021-04-13,3400,32,48845,43013,5832,23433,19575,5,0,48845,0,1,0,0,0,5287,23593,14131,0,0,0,43013
Andaman and Nicobar Islands,2021-04-14,3300,32,55595,49654,5941,26959,22690,5,0,55595,0,1,0,0,0,5307,28136,16209,0,0,0,49654
Andaman and Nicobar Islands,2021-04-15,4000,35,60857,54778,6079,29685,25088,5,0,60857,0,1,0,0,0,5347,31563,17866,0,0,0,54778
Andaman and Nicobar Islands,2021-04-16,4900,36,67662,61339,6323,33196,28138,5,0,67662,0,1,0,0,0,5382,36179,19776,0,0,0,61339
Andaman and Nicobar Islands,2021-04-17,4300,40,74019,67451,6568,36435,31010,6,0,74019,0,1,0,0,0,5456,40346,21647,0,0,0,67451
Andaman and Nicobar Islands,2021-04-18,4700,47,78153,71275,6878,38500,32769,6,0,78153,0,1,0,0,0,5515,43012,22746,0,0,0,71275
Andaman and Nicobar Islands,2021-04-19,4750,46,83028,75675,7353,40893,34776,6,0,83028,0,1,0,0,0,5598,45987,24088,0,0,0,75675
Andaman and Nicobar Islands,2021-04-20,4800,47,86910,78973,7937,42718,36248,7,0,86910,0,1,0,0,0,5687,48255,25029,0,0,0,78973
Andaman and Nicobar Islands,2021-04-21,4100,40,89072,80901,8171,43818,37076,7,0,89072,0,1,0,0,0,5736,49621,25542,0,0,0,80901
Andaman and Nicobar Islands,2021-04-22,4200,42,91833,83233,8600,45145,38081,7,0,91833,0,1,0,0,0,5815,51167,26249,0,0,0,83233
Andhra Pradesh,2021-02-09,17614,2826,275654,275654,0,124433,151194,27,26245,249409,0,0,0,0,0,0,0,0,0,0,0,275654
Andaman and Nicobar Islands,2021-04-23,4200,42,94166,85201,8965,46215,38978,8,0,94166,0,1,0,0,0,5878,52529,26791,0,0,0,85201
Andaman and Nicobar Islands,2021-04-24,3900,37,96093,86796,9297,47109,39679,8,0,96093,0,1,0,0,0,5926,53689,27178,0,0,0,86796
Andaman and Nicobar Islands,2021-04-25,3500,35,97392,87865,9527,47711,40146,8,0,97392,0,1,0,0,0,5945,54478,27439,0,0,0,87865
Andaman and Nicobar Islands,2021-04-26,3500,34,99109,89290,9819,48496,40786,8,0,99109,0,1,0,0,0,5977,55456,27854,0,0,0,89290
Andaman and Nicobar Islands,2021-04-27,3500,34,100571,90454,10117,49116,41330,8,0,100571,0,1,0,0,0,8547,53714,28190,0,0,0,90454
Andaman and Nicobar Islands,2021-04-28,3100,31,101770,91394,10376,49622,41764,8,0,101770,0,1,0,0,0,8579,54314,28497,0,0,0,91394
Andaman and Nicobar Islands,2021-04-29,3200,32,102998,92417,10581,50235,42174,8,0,102998,0,1,0,0,0,8621,55029,28766,0,0,0,92417
Andaman and Nicobar Islands,2021-04-30,3200,31,104374,93493,10881,50804,42681,8,0,104374,0,1,0,0,0,8674,55730,29087,0,0,0,93493
Andaman and Nicobar Islands,2021-05-01,3300,33,105090,94002,11088,51106,42888,8,0,105090,0,1,0,0,0,8713,56069,29218,0,0,0,94002
Andaman and Nicobar Islands,2021-05-02,1400,13,105285,94125,11160,51165,42952,8,0,105285,0,1,0,0,0,8729,56119,29276,0,0,0,94125
Andaman and Nicobar Islands,2021-05-03,4000,32,106250,94633,11617,51480,43145,8,0,106250,0,1,0,0,0,8782,56479,29371,0,0,0,94633
Andaman and Nicobar Islands,2021-05-04,4100,36,107018,95064,11954,51742,43314,8,0,107018,0,1,0,0,0,8863,56745,29455,0,0,0,95064
Andaman and Nicobar Islands,2021-05-05,5400,46,107955,95500,12455,51982,43510,8,0,107955,0,1,0,0,0,8938,56994,29567,0,0,0,95500
Andaman and Nicobar Islands,2021-05-06,5100,46,109060,96229,12831,52233,43988,8,0,109060,0,1,0,0,0,9286,57252,29690,0,0,0,96229
Andaman and Nicobar Islands,2021-05-07,5400,48,110161,96970,13191,52490,44472,8,0,110161,0,1,0,0,0,9680,57516,29773,0,0,0,96970
Andaman and Nicobar Islands,2021-05-08,5000,44,111168,97639,13529,52749,44882,8,0,111168,0,1,0,0,0,9913,57886,29839,0,0,0,97639
Andaman and Nicobar Islands,2021-05-09,3800,38,111285,97748,13537,52760,44980,8,0,111285,0,1,0,0,0,10016,57892,29839,0,0,0,97748
Andaman and Nicobar Islands,2021-05-10,5200,44,112403,98439,13964,53054,45377,8,0,112403,0,1,0,0,0,10195,58235,30008,0,0,0,98439
Andaman and Nicobar Islands,2021-05-11,5500,44,113019,98845,14174,53254,45583,8,0,113019,0,2,0,0,0,10278,58473,30093,0,0,0,98845
Andaman and Nicobar Islands,2021-05-12,4600,41,113622,99218,14404,53438,45772,8,0,113622,0,2,0,0,0,10368,58695,30154,0,0,0,99218
Andaman and Nicobar Islands,2021-05-13,5300,44,114400,99602,14798,53657,45937,8,0,114400,0,2,0,0,0,10404,58947,30249,0,0,0,99602
Andaman and Nicobar Islands,2021-05-14,4400,39,114498,99690,14808,53698,45984,8,0,114498,0,2,0,0,0,10410,59027,30251,0,0,0,99690
Andaman and Nicobar Islands,2021-05-15,4000,35,115188,100058,15130,53903,46147,8,0,115188,0,2,0,0,0,10447,59293,30316,0,0,0,100058
Andaman and Nicobar Islands,2021-05-16,2120,21,115188,100058,15130,53903,46147,8,0,115188,0,2,0,0,0,10447,59293,30316,0,0,0,100058
Andaman and Nicobar Islands,2021-05-17,5655,33,115627,100492,15135,54080,46403,9,0,115627,0,2,0,0,0,10560,59534,30396,0,0,0,100492
Andaman and Nicobar Islands,2021-05-18,5115,31,115911,100773,15138,54206,46558,9,0,115911,0,2,0,0,0,10633,59702,30436,0,0,0,100773
Andaman and Nicobar Islands,2021-05-19,4710,31,116427,101277,15150,54473,46795,9,0,116427,0,2,0,0,0,10987,59814,30474,0,0,0,101277
Andaman and Nicobar Islands,2021-05-20,5612,34,117180,102027,15153,54922,47096,9,0,117180,0,2,0,0,0,11598,59923,30504,0,0,0,102027
Andaman and Nicobar Islands,2021-05-21,4403,32,117950,102795,15155,55368,47418,9,0,117950,0,2,0,0,0,12260,60008,30525,0,0,0,102795
Andaman and Nicobar Islands,2021-05-22,5113,30,118761,103605,15156,55814,47782,9,0,118761,0,2,0,0,0,12932,60115,30556,0,0,0,103605
